BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuaranteed,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
"ICT Investments, LLC",400 Rinehart Rd.,Lake Mary,FL,32746,12927,PIF,1700000,1275000,6,180,2011,5/16/11,6/1/11,16,3/14/26,0,,,,,,,423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Whole,80,PLP,Guaranty,Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
"Truly Believes, Inc",6046 Winthrop Town Centre Ave,Riverview,FL,33578,13146,PIF,302000,226500,6,123,2011,3/16/11,4/1/11,16,5/8/21,0,,,,,,,722211,Limited-Service Restaurants,13,PLP,Guaranty,Federal Deposit Insurance Corporation,550 17th St NW,WASHINGTON,DC,20429
"Sullivan's Automotive, Inc",233 W. 14th Street,Panama City,FL,32401,13149,PIF,177000,159300,5.25,300,2010,4/15/10,5/1/10,16,12/21/34,0,,,,,,,811111,General Automotive Repair,3,PLP,Guaranty,Federal Deposit Insurance Corporation,550 17th St NW,WASHINGTON,DC,20429
Ortega Hospitality (103rd Stre,7071 103rd Street,Jacksonville,FL,32210,13273,PIF,1850000,1387500,5.75,240,2014,5/16/14,6/1/14,16,2/16/34,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,22,PLP,Guaranty,Embassy National Bank,1817 N Brown Rd,LAWRENCEVILLE,GA,30043
"HX Components, Inc. dba Concep",1230 N US Hwy 1,Ormond Beach,FL,32174,13644,EXEMPT,735000,551250,6.75,120,2017,6/14/17,6/30/17,16,5/9/27,0,,,,,,,332710,Machine Shops,3,PLP,Guaranty,"CRF Small Business Loan Company, LLC",801 Nicollet Mall,MINNEAPOLIS,MN,55402
CLUKEY ENTERPRISES INC,2 PACIFIC STREET,SAINT AUGUSTINE,FL,32084,14065,EXEMPT,25000,12500,9.75,84,2015,3/16/15,4/1/15,16,2/23/22,0,,,,,,,339920,Sporting and Athletic Goods Manufacturing,7,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
"Spectrum Voice & Data, Inc",3321 Princeton Road.,Brooksville,FL,34604,14337,EXEMPT,35000,17500,7.92,84,2011,4/15/11,5/1/11,16,3/25/18,0,,,,,,,519190,All Other Information Services,5,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
ABC Paving Sealcoating & Strip,1235 A Peavy Rd..,Jacksonville,FL,32254,14394,PIF,20000,10000,9.75,84,2010,7/16/10,8/1/10,16,6/25/17,0,,,,,,,238990,All Other Specialty Trade Contractors,7,SBA EXPRES,FA$TRK (Small Loan Express),Compass Bank,15 S 20th St,BIRMINGHAM,AL,35233
"Paradise Adventures, LLC",3901 Thomas Dr,PANAMA CITY,FL,32408,14489,EXEMPT,386000,289500,6,180,2015,2/13/15,3/1/15,16,12/12/29,0,,,,,,,713990,All Other Amusement and Recreation Industries,8,PLP,Guaranty,Community Bank of Mississippi,323 E Third St,FOREST,MS,39074
"PASCO TURF & TRACTOR, LLC",2101 N PINE AVENUE,OCALA,FL,34475,14823,EXEMPT,427500,320625,7,300,2018,12/15/17,12/31/17,16,8/22/42,0,,,,,,,444210,Outdoor Power Equipment Stores,8,PLP,Guaranty,"CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
"Donco Food Services, LLC",West Colonial Drive,Winter Garden,FL,34787,14929,PIF,225000,168750,6,90,2014,5/16/14,6/1/14,16,10/22/21,0,,,,,,,722513,Limited-Service Restaurants,40,CLP,Guaranty,"CenterState Bank, National Association",1101 First St South,WINTER HAVEN,FL,33880
"Capoeira Volta Ao Mundo, Inc.",McIntosh Lane,Sarasota,FL,34232,15045,EXEMPT,385000,288750,5.5,300,2016,9/15/16,10/1/16,16,5/23/41,0,,,,,,,611620,Sports and Recreation Instruction,0,OTH 7A,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Blu Home and Interiors, LLC",1830 S. Osprey Ave Ste. 101,Sarasota,FL,34239,15058,EXEMPT,150000,127500,6,120,2016,4/15/16,5/1/16,16,3/10/26,0,,,,,,,541410,Interior Design Services,3,OTH 7A,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Jeros Holdings, LLC",6801 Energy Court,Sarasota,FL,34240,15096,EXEMPT,5000000,3750000,6,120,2015,4/15/15,5/1/15,16,3/9/25,0,,,,,,,325311,Nitrogenous Fertilizer Manufacturing,0,PLP,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Barley Mow Brewing Company II,",521 Commerce Drive,Largo,FL,33770,15138,EXEMPT,1800000,1350000,6,300,2014,1/16/14,2/1/14,16,9/23/38,0,,,,,,,312120,Breweries,4,OTH 7A,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
Moore-Hicks Limited Partnershi,800 Broadway Street,Longboat Key,FL,34228,15148,PIF,1780000,1335000,6,300,2014,11/15/13,12/1/13,16,7/23/38,0,,,,,,,722511,Full-Service Restaurants,32,OTH 7A,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Aonics Electronics, Inc.","24152 SR 54, Suite 2",Lutz,FL,33549,15163,PIF,158000,118500,5.5,120,2013,8/16/13,9/1/13,16,7/11/23,0,,,,,,,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchan",5,PLP,Guaranty,Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Aonics Electronics, Inc.","24152 SR 54, Suite 2",Lutz,FL,33549,15164,EXEMPT,50000,25000,5.75,46,2013,8/16/13,9/1/13,16,6/12/17,0,,,,,,,423620,"Electrical and Electronic Appliance, Television, and Radio Set Merchan",3,SBA EXPRES,FA$TRK (Small Loan Express),Centennial Bank,620 Chestnut St,CONWAY,AR,72032
"Vargas Solutions, LLC",4226 STACEY RD,JACKSONVILLE BEACH,FL,32250,15354,EXEMPT,100000,85000,7,120,2018,12/15/17,12/31/17,16,11/9/27,0,,,,,,,541512,Computer Systems Design Services,2,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
Ascendance Studio LLC,9594 NW 41 Street #107,MIAMI,FL,33178,15763,PIF,25000,21250,8,120,2015,12/16/14,1/1/15,16,11/9/24,0,,,,,,,611610,Fine Arts Schools,6,PLP,Guaranty,Celtic Bank Corporation,"268 S State St, Ste 300",SALT LAKE CITY,UT,84111
AFLG Monaco LLC,5000 Calienta Street,Hernando Beach,FL,34607,15944,EXEMPT,1380000,1035000,5.5,300,2016,8/16/16,9/1/16,16,4/23/41,0,,,,,,,713930,Marinas,15,PLP,Guaranty,CBC National Bank,1891 S 14th St,FERNANDINA BEACH,FL,32034
Padmavati Inc.,2226 Hwy 71,Marianna,FL,32448,16053,EXEMPT,1269000,951750,5.25,300,2011,9/15/11,10/1/11,16,5/22/36,0,,,,,,,721110,Hotels (except Casino Hotels) and Motels,11,PLP,Guaranty,CBC National Bank,1891 S 14th St,FERNANDINA BEACH,FL,32034
HANNA ZAKI & ASSOCIATES PA,7777 NW 146 STREET,MIAMI LAKES,FL,33016,16413,PIF,100000,50000,4.75,84,2011,12/16/10,1/1/11,16,11/25/17,0,,,,,,,541219,Other Accounting Services,6,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
JEWELRY DESIGN AND REPAIR CENT,1700 W INTERNATIONAL SPEEDWA,Daytona Beach,FL,32114,16466,PIF,30000,15000,8.15,84,2010,9/15/10,10/1/10,16,8/25/17,0,,,,,,,448310,Jewelry Stores,4,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
MULTISCAN CORP,10733 SW 118 PL,Miami,FL,33186,16541,PIF,50000,25000,7.75,84,2010,3/16/10,4/1/10,16,2/23/17,0,,,,,,,541990,"All Other Professional, Scientific, and Technical Services",3,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
PANOPTIC TECHNOLOGY INC,401 OCEAN AVE STE 203,Melbourne Beach,FL,32951,16544,PIF,50000,25000,4.25,84,2010,3/16/10,4/1/10,16,2/23/17,0,,,,,,,518210,"Data Processing, Hosting, and Related Services",3,SBA EXPRES,FA$TRK (Small Loan Express),Branch Banking and Trust Company,200 W Second St,WINSTON SALEM,NC,27101
ExcelAg Corp.,"7300 N. Kendall Drive, Suite",MIAMI,FL,33156,16616,PIF,2500000,2250000,4.5,12,2015,9/15/15,10/1/15,16,9/25/16,0,,,,,,,325311,Nitrogenous Fertilizer Manufacturing,7,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),Banesco USA,"150 Alhambra Circle, Ste 100",CORAL GABLES,FL,33134
WGI Telecom Inc.,1786 North Commerce Parkway,FORT LAUDERDALE,FL,33326,16618,PIF,300000,270000,5.3,12,2016,10/16/15,11/1/15,16,10/26/16,0,,,,,,,423690,Other Electronic Parts and Equipment Merchant Wholesalers,8,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),Banesco USA,"150 Alhambra Circle, Ste 100",CORAL GABLES,FL,33134
Florida Trading Import & Expor,5561 NW 36th Avenue,Miami,FL,33142,16684,EXEMPT,3478600,3130740,5.25,120,2012,11/15/11,12/1/11,16,10/9/21,0,,,,,,,311942,Spice and Extract Manufacturing,34,INTER TRDE,"International Trade - Sec, 7(a) (16)","BizCapital BIDCO I, LLC",909 Poydras Street,NEW ORLEANS,LA,70112
Edison Auto Service Inc,28 Mildred Drive,FORT MYERS,FL,33901,16966,EXEMPT,53100,26550,6.25,60,2014,9/15/14,10/1/14,16,9/5/19,0,,,,,,,811111,General Automotive Repair,6,SBA EXPRES,FA$TRK (Small Loan Express),"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"Fong?s Complete Dental Care, I","1900 N. University Drive, STE",HOLLYWOOD,FL,33027,17106,PIF,104000,88400,3.85,240,2013,4/15/13,5/1/13,16,1/16/33,0,,,,,,,621210,Offices of Dentists,0,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
The Six Brothers Trust,14060 NW 82 Avenue A-11,MIAMI LAKES,FL,33016,17125,EXEMPT,349200,261900,3.75,240,2013,2/13/13,3/1/13,16,11/16/32,0,,,,,,,454210,Vending Machine Operators,5,SLA,Lender Advantage Initiative,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
Our city Weston and Town Times,17120 Royal Print Palm Blvd.,Weston,FL,33326,17270,PIF,1050000,945000,6,120,2010,4/15/10,5/1/10,16,3/9/20,0,,,,,,,511120,Periodical Publishers,7,PLP,Guaranty,"BankUnited, National Association",14817 Oak Lane,MIAMI LAKES,FL,33016
"South Florida Wax Center #2, L",2618 PGA Blvd.,Palm Beach Gardens,FL,33410,17332,PIF,377600,283200,6,129,2015,3/16/15,4/1/15,16,11/4/25,0,,,,,,,812199,Other Personal Care Services,16,PLP,Guaranty,Bank of the Ozarks,17901 Chenal Pkwy,LITTLE ROCK,AR,72223
"A-Fabco, Inc.",11550 S. US Hwy 41,Gibsonton,FL,33534,17341,EXEMPT,739000,554250,5.75,300,2015,12/16/14,1/1/15,16,8/23/39,0,,,,,,,332312,Fabricated Structural Metal Manufacturing,13,PLP,Guaranty,Bank of the Ozarks,17901 Chenal Pkwy,LITTLE ROCK,AR,72223
"TEDDY&apos;S PALACE, LLC",5573 MARQUESAS CIR,Sarasota,FL,34233,17499,EXEMPT,225300,168975,4.32,300,2017,8/15/17,8/31/17,16,4/22/42,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),2,PLP,Guaranty,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202
Singleton International Proper,7462 Lem Turner Rd.,Jacksonville,FL,32208,17508,EXEMPT,739500,554625,4.75,240,2017,6/14/17,6/30/17,16,3/17/37,0,,,,,,,811111,General Automotive Repair,2,PLP,Guaranty,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202
ARX Solutions Inc.,1000 Ponce De Leon Blvd Ste.,MIAMI,FL,33134,17684,PIF,50000,25000,9.75,60,2010,12/16/09,1/1/10,16,12/6/14,0,,,,,,,541310,Architectural Services,5,SBA EXPRES,FA$TRK (Small Loan Express),"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202
"BOSCH ENTERPRISES, INC",3066 NW 18 Terrace,Miami,FL,33125,428,CHGOFF,50000,25000,6.75,60,2012,6/14/12,7/1/12,17,6/5/17,1,2014,50000,0,7/31/14,1040,35,423220,Home Furnishing Merchant Wholesalers,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"Baehr Enterprises, Inc.",7282 55th Ave.,BRADENTON,FL,34203,650,EXEMPT,150000,127500,6.25,120,2017,12/15/16,1/1/17,17,11/10/26,0,,,,,,,448190,Other Clothing Stores,8,SLA,Lender Advantage Initiative,Whitney Bank,2510 14th St,GULFPORT,MS,39501
"Hall and Keener, PA",9800 4th Street N Suite 206,SAINT PETERSBURG,FL,33702,1021,EXEMPT,150000,127500,5.5,84,2011,8/15/11,9/1/11,17,7/26/18,0,,,,,,,541110,Offices of Lawyers,4,OTH 7A,Guaranty,Valley National Bank,615 Main Ave,PASSAIC,NJ,7055
A BETTER LIFE SENIOR CARE LLC,"501 Goodlette Rd N Bldg D100,",NAPLES,FL,34102,1069,PIF,150000,127500,6.75,120,2017,6/13/17,6/30/17,17,5/9/27,0,,,,,,,624120,Services for the Elderly and Persons with Disabilities,7,PLP,Guaranty,United Midwest Savings Bank,101 S Main St,DE GRAFF,OH,43318
"Gulf Breeze Gourmet East, LLC",501 East Gregory St.,Pensacola,FL,32502,1120,EXEMPT,360000,270000,6.5,126,2017,6/13/17,6/30/17,17,11/5/27,0,,,,,,,722513,Limited-Service Restaurants,25,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
BLUE WATER DENTAL OF ST. JOHNS,"460 Town Plaza Avenue, #210",PONTE VEDRA,FL,32081,1149,EXEMPT,845000,633750,5,309,2016,3/15/16,4/1/16,17,8/18/41,0,,,,,,,621210,Offices of Dentists,3,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
AMERICAN PEDIATRIC DENTAL KEND,"8200 SW 117th Ave, Suite 204",MIAMI,FL,33183,1152,EXEMPT,480000,360000,4.5,261,2016,12/15/15,1/1/16,17,6/9/37,0,,,,,,,621210,Offices of Dentists,17,PLP,Guaranty,United Community Bank,177 Hwy 515 E,BLAIRSVILLE,GA,30512
"Dogma Mobile Grooming, LLC",3309 West Marcum Street,TAMPA,FL,33611,1241,EXEMPT,25000,21250,8,84,2011,4/14/11,5/1/11,17,3/25/18,0,,,,,,,812910,Pet Care (except Veterinary) Services,2,COMM EXPRS,Community Express,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
DUNKIN DONUTS,11691 NE 18 DR.,MIAMI,FL,33181,1525,PIF,313500,282150,6,84,2010,10/15/09,11/1/09,17,9/25/16,0,,,,,,,722211,Limited-Service Restaurants,12,RLA,Rural Lender Advantage,TotalBank,100 SE 2nd St,MIAMI,FL,33131
"Sai Oral Surgery, PLLC",1728 Dunlawton Ave Suite 3,PORT ORANGE,FL,32127,1529,EXEMPT,236000,177000,5.25,300,2016,3/15/16,4/1/16,17,11/21/40,0,,,,,,,621210,Offices of Dentists,6,PLP,Guaranty,"Titan Bank, National Association",1701 E Hubbard St,MINERAL WELLS,TX,76067
"Flow Smart Five, LLC",Us Hwy 1 Unit 6,Vero Beach,FL,32960,1574,PIF,195000,146250,6,120,2016,9/14/16,10/1/16,17,8/10/26,0,,,,,,,722513,Limited-Service Restaurants,0,SLA,Lender Advantage Initiative,The Oculina Bank,"4450 24th Ave, Ste 101",VERO BEACH,FL,32967
Premier Linen and Supply Corp,468 SW Sun Circle,Palm City,FL,34990,1602,PIF,150000,127500,6,120,2015,7/15/15,8/1/15,17,6/9/25,0,,,,,,,812320,Drycleaning and Laundry Services (except Coin-Operated),8,SLA,Lender Advantage Initiative,The Oculina Bank,"4450 24th Ave, Ste 101",VERO BEACH,FL,32967
"Cifuentes Training, LLC",8313NW 8th Terrace,Boca Raton,FL,33487,2132,EXEMPT,90000,45000,8.38,84,2018,12/14/17,12/31/17,17,11/24/24,0,,,,,,,812990,All Other Personal Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Website Man Productions LLC,21549 Woodchuck Court,Boca Raton,FL,33428,2135,EXEMPT,100000,50000,4.25,84,2018,12/14/17,12/31/17,17,11/24/24,0,,,,,,,323111,Commercial Gravure Printing,4,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
PEREZ 40 SERVICES LLC,6125 HAYES STREET,Hollywood,FL,33024,2247,EXEMPT,14000,7000,10.04,84,2018,11/13/17,11/30/17,17,10/24/24,0,,,,,,,236118,Residential Remodelers,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
BCRP CORP.,7875 Bird Rd,Miami,FL,33155,2248,EXEMPT,100000,50000,7.46,84,2018,11/13/17,11/30/17,17,10/24/24,0,,,,,,,238320,Painting and Wall Covering Contractors,5,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
PENA&apos;S CUSTOM CABINETS LL,1698 SE SOUTH NIENEYER CIRCLE,Port Saint Lucie,FL,34952,2411,EXEMPT,20000,10000,10.74,84,2017,9/13/17,9/30/17,17,8/24/24,0,,,,,,,238350,Finish Carpentry Contractors,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
LARA PLUMBING SERVICE CORP.,5022 NW 188TH STREET,Opa Locka,FL,33055,2412,EXEMPT,35000,17500,10.74,84,2017,9/13/17,9/30/17,17,8/24/24,0,,,,,,,238220,"Plumbing, Heating, and Air-Conditioning Contractors",1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"DB LUXURY, LLC",3115 OAKLAND SHORES DRIVE,Fort Lauderdale,FL,33309,2518,EXEMPT,50000,25000,10.38,84,2017,8/14/17,8/31/17,17,7/25/24,0,,,,,,,485320,Limousine Service,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Financial Consulting LLC,18191 NW 68th Avenue,Hialeah,FL,33015,2686,EXEMPT,60000,30000,7.49,84,2017,6/13/17,6/30/17,17,5/24/24,0,,,,,,,541511,Custom Computer Programming Services,1,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
VILLA4LESS.COM LLC,1420 Celebration Blvd,Kissimmee,FL,34747,2687,EXEMPT,50000,25000,9.79,84,2017,6/13/17,6/30/17,17,5/24/24,0,,,,,,,531311,Residential Property Managers,10,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
SPROUT ENTERTAINMENT LLC,411 W. Hallandale Beach Blvd,Hallandale,FL,33009,2689,EXEMPT,14500,7250,9.79,60,2017,6/13/17,6/30/17,17,6/4/22,0,,,,,,,624410,Child Day Care Services,14,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
FILOMENAS PIZZERIA &amp; RISTO,3590 N. Hwy 1792,Lake Mary,FL,32746,2690,EXEMPT,50000,25000,9.79,84,2017,6/13/17,6/30/17,17,5/24/24,0,,,,,,,722511,Full-Service Restaurants,9,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"FLETCHER POULTRY, LLC",17016 73rd Road,Mc Alpin,FL,32062,2691,EXEMPT,50000,25000,9.79,84,2017,6/13/17,6/30/17,17,5/24/24,0,,,,,,,112340,Poultry Hatcheries,2,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Jax Ice Machine Equipment and,2451 Old Lake Mary Road,Sanford,FL,32771,2833,EXEMPT,2800000,2100000,5.38,221,2017,4/13/17,4/30/17,17,6/25/35,0,,,,,,,312113,Ice Manufacturing,50,PLP,Guaranty,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
"CGT MARKETING, P.A.",7465 Campo Florido,Boca Raton,FL,33433,2834,EXEMPT,15000,7500,9.24,84,2017,4/13/17,4/30/17,17,3/24/24,0,,,,,,,531210,Offices of Real Estate Agents and Brokers,7,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
Physician Extenders Services I,1001 N. Federal Highway 355,Hallandale,FL,33009,3630,PIF,50000,25000,6.75,84,2012,5/15/12,6/1/12,17,4/26/19,0,,,,,,,561320,Temporary Help Services,0,SBA EXPRES,FA$TRK (Small Loan Express),"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
JOT Childcare Inc,905 Longwood Hills Rd,Longwood,FL,32750,3655,EXEMPT,1567000,1175250,5.5,300,2012,2/13/12,3/1/12,17,10/21/36,0,,,,,,,624410,Child Day Care Services,8,PLP,Guaranty,"TD Bank, National Association",2035 Limestone Rd,WILMINGTON,DE,19808
ELM of Northwest Florida Inc d,"8102 North Davis Highway, Sui",Pensacola,FL,32514,4064,PIF,295000,265500,5.75,84,2010,10/15/09,11/1/09,17,9/25/16,0,,,,,,,541213,Tax Preparation Services,61,PLP,Guaranty,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901
"BW K9 Enterprises, Inc.",11962 CR 101,The Villages,FL,32162,4114,EXEMPT,331000,248250,7,120,2018,11/13/17,11/30/17,17,10/9/27,0,,,,,,,812910,Pet Care (except Veterinary) Services,18,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"DAC Real Estate Holdings, LLC",3037 E Commercial Blvd,FT Lauderdale,FL,33308,4162,EXEMPT,1104500,828375,5.88,300,2017,6/13/17,6/30/17,17,2/19/42,0,,,,,,,621210,Offices of Dentists,7,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"Diego A. Camacho, D.M.D. M.S.D",3037 E. Commercial Blvd.,Ft Lauderdale,FL,33308,4163,EXEMPT,100000,50000,6.75,84,2017,6/13/17,6/30/17,17,5/24/24,0,,,,,,,621210,Offices of Dentists,7,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
MICO MACHINES Inc.,7065 Westpointe Blvd Suite 32,ORLANDO,FL,32835,4494,PIF,1400000,1260000,3.19,12,2016,11/30/15,12/17/15,17,12/11/16,0,,,,,,,423830,Industrial Machinery and Equipment Merchant Wholesalers,4,EWCP,Revolving Line of Credit Exports - Sec. 7(a) (14),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
Atlantic Marine Power Systems,2901 SW 2nd Avenue,Ft. Lauderdale,FL,33315,4730,EXEMPT,499500,374625,5.5,192,2015,12/15/14,1/1/15,17,10/9/30,0,,,,,,,811490,Other Personal and Household Goods Repair and Maintenance,0,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
Indian River Chiropractic LLC,1547 US Hwy 1,VERO BEACH,FL,32960,4743,EXEMPT,188000,141000,5.95,120,2015,11/14/14,12/1/14,17,10/9/24,0,,,,,,,621310,Offices of Chiropractors,4,SLA,Lender Advantage Initiative,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
PARADISE LANDSCAPING & LAWN MA,4601 N HIGHWAY US 1,BUNNELL,FL,32110,5306,PIF,200000,100000,7.75,84,2010,4/14/10,5/1/10,17,3/25/17,0,,,,,,,561730,Landscaping Services,21,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
SRI CONSULTANTS INC,7581 LADSON TERRACE,LAKE WORTH,FL,33467,5329,PIF,48500,24250,7.75,84,2010,3/15/10,4/1/10,17,2/23/17,0,,,,,,,541330,Engineering Services,1,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
SRI CONSULTANTS INC,7580 LADSON TERRACE,LAKE WORTH,FL,33467,5330,PIF,35000,17500,7.4,84,2010,3/15/10,4/1/10,17,2/23/17,0,,,,,,,541330,Engineering Services,1,SBA EXPRES,FA$TRK (Small Loan Express),SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"ABC Heavy Transport, Inc. and",4460 107th Circle Lane,Clearwater,FL,33762,5345,PIF,400000,360000,5.5,60,2010,2/12/10,3/1/10,17,2/3/15,0,,,,,,,488490,Other Support Activities for Road Transportation,18,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"AKEA, INC",25401 NW 8TH PL  Suite B,NEWBERRY,FL,32669,5361,PIF,200000,180000,5.9,84,2010,1/15/10,2/1/10,17,12/26/16,0,,,,,,,541330,Engineering Services,15,PATRIOT EX,Patriot Express,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
"JRHM Technologies, LLC",10471 6 Mile Cypress Pkwy,Fort Myers,FL,33966,5434,EXEMPT,137000,116450,6,120,2015,12/15/14,1/1/15,17,11/9/24,0,,,,,,,541512,Computer Systems Design Services,2,SLA,Lender Advantage Initiative,Suncoast CU,6804 E Hillsborough Ave,TAMPA,FL,33610
"BRXW HOLDINGS, LLC",4512 OLD GOLDENROD RD,ORLANDO,FL,32822,5575,EXEMPT,3330000,2497500,6,308,2016,8/15/16,9/1/16,17,12/19/41,0,,,,,,,811192,Car Washes,15,PLP,Guaranty,Stearns Bank National Association,4191 2nd St South,SAINT CLOUD,MN,56301
"Crawco, LLC",3494 Thomasville Rd.,Tallahassee,FL,32309,5781,EXEMPT,50000,25000,6.75,120,2017,8/14/17,8/31/17,17,7/10/27,0,,,,,,,812112,Beauty Salons,0,SBA EXPRES,FA$TRK (Small Loan Express),"Spirit of Texas Bank, SSB",625 University Dr East,COLLEGE STATION,TX,77840
"Lots of Lashes, LLC","4650 Donald Ross Road, Suite",Palm Beach Gardens,FL,33418,5798,EXEMPT,412800,309600,6,120,2016,9/14/16,10/1/16,17,8/10/26,0,,,,,,,812199,Other Personal Care Services,15,PLP,Guaranty,"Spirit of Texas Bank, SSB",625 University Dr East,COLLEGE STATION,TX,77840
Fuego Caliente LLC,2520 S Washington Ave #150,TITUSVILLE,FL,32780,5964,EXEMPT,289000,216750,6.75,102,2017,6/13/17,6/30/17,17,11/15/25,0,,,,,,,722513,Limited-Service Restaurants,40,PLP,Guaranty,Seacoast National Bank,815 Colorado Ave,STUART,FL,34994
ECHELON EQUITIES LLC,3784 BAYSHORE DR,NAPLES,FL,34112,6235,EXEMPT,396200,297150,5.75,300,2018,12/14/17,12/31/17,17,8/22/42,0,,,,,,,448310,Jewelry Stores,6,PLP,Guaranty,Regions Bank,1900 5th Ave North,BIRMINGHAM,AL,35203
