BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
A Time For Paws LLC,RR 2 Box 124,Elizabethtown,IL,62931,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,155000,116250,12/5/16,2017,12/5/16,PLP,Guaranty,5.75,120,721110,Hotels (except Casino Hotels) and Motels,EXEMPT,0,,0,0,3
Tailgater's Bar and Grille L.L,1201 Illinois Ave,ELDORADO,IL,62930,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,10000,8500,11/18/16,2017,11/18/16,PLP,Guaranty,5.75,60,722511,Full-Service Restaurants,EXEMPT,0,,0,0,9
Tailgater's Bar and Grille L.L,1201 Illinois Ave,ELDORADO,IL,62930,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,75000,63750,11/18/16,2017,11/18/16,PLP,Guaranty,5.75,300,722511,Full-Service Restaurants,EXEMPT,0,,0,0,9
Decatur Investments LLC,2370 Mount Zion Rd,Decatur,IL,62521,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,3570000,2677500,10/20/16,2017,11/1/16,PLP,Guaranty,5,300,721110,Hotels (except Casino Hotels) and Motels,EXEMPT,0,,0,0,15
Dewayne Lamczyk,23556 Nevada Rd,ASHLEY,IL,62808,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,149000,126650,7/15/16,2016,8/1/16,PLP,Guaranty,5.5,300,111191,Oilseed and Grain Combination,EXEMPT,0,,0,0,2
Keyser Enterprises 1 LP,819 W Main St,Carbondale,IL,62901,PARTNERSHIP,Legence Bank,946 Fourth St,ELDORADO,IL,62930,80000,68000,4/14/16,2016,4/14/16,PLP,Guaranty,5,60,722511,Full-Service Restaurants,PIF,0,,0,0,20
"Malones Early Learning Center,",122 Walnut St,CARTERVILLE,IL,62918,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,37000,31450,11/27/15,2016,12/1/15,PLP,Guaranty,6,72,624410,Child Day Care Services,EXEMPT,0,,0,0,4
Noble Properties of New Mexico,1 Main st,HARRISBURG,IL,62946,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,1500000,1125000,8/3/15,2015,,PLP,Guaranty,5,300,721110,Hotels (except Casino Hotels) and Motels,CANCLD,0,,0,0,4
"Schiller Lodges, LLC",3801 N. Mannheim Rd,SCHILLER PARK,IL,60176,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,4245000,3183750,7/23/15,2015,,PLP,Guaranty,5,300,721110,Hotels (except Casino Hotels) and Motels,CANCLD,0,,0,0,10
Shawnee Bluffs Canopy Tour Inc,635 Robinson Hill Rd,MAKANDA,IL,62958,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,460000,345000,7/6/15,2015,8/1/15,PLP,Guaranty,5.5,300,713110,Amusement and Theme Parks,EXEMPT,0,,0,0,12
Shawnee Bluffs Canopy Tour Inc,635 Robinson Hill Rd,MAKANDA,IL,62958,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,210000,157500,7/6/15,2015,8/1/15,PLP,Guaranty,5.5,300,713110,Amusement and Theme Parks,EXEMPT,0,,0,0,12
Pickfords Flowers and Gifts,112 W Poplar St,HARRISBURG,IL,62946,PARTNERSHIP,Legence Bank,946 Fourth St,ELDORADO,IL,62930,150000,127500,7/2/15,2015,7/2/15,PLP,Guaranty,6,180,453110,Florists,EXEMPT,0,,0,0,4
"AA&K Transportation, LLC",1000 S First St,FAIRFIELD,IL,62837,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,150000,127500,6/26/15,2015,7/1/15,PLP,Guaranty,5.5,77,484110,"General Freight Trucking, Local",EXEMPT,0,,0,0,15
"Wings of Moline, LLC",3900 44th Ave,MOLINE,IL,61265,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,150000,127500,6/4/15,2015,6/4/15,PLP,Guaranty,6,123,722511,Full-Service Restaurants,EXEMPT,0,,0,0,16
Pro Carpet Care & Tile,421 East End St,CARRIER MILLS,IL,62917,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,50000,42500,6/1/15,2015,6/1/15,PLP,Guaranty,6,84,561740,Carpet and Upholstery Cleaning Services,EXEMPT,0,,0,0,1
Wingstop Moline LLC,3930 44th Ave,MOLINE,IL,61265,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,150000,75000,3/10/15,2015,,PLP,Guaranty,6,123,722513,Limited-Service Restaurants,CANCLD,0,,0,0,16
Botarf Heating and Cooling,235 Richmond Rd,Simpson,IL,62985,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,45200,22600,10/23/14,2015,10/23/14,SBA EXPRES,FA$TRK (Small Loan Express),6,84,238220,"Plumbing, Heating, and Air-Conditioning Contractors",EXEMPT,0,,0,0,3
"RK Hospitality, LLC",1787 Aldridge Ct.,Aurora,IL,60598,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,966000,724500,9/30/14,2014,10/1/14,OTH 7A,Guaranty,6,300,721110,Hotels (except Casino Hotels) and Motels,EXEMPT,0,,0,0,0
Jillian Burroughs,705 Marshall St,Harrisburg,IL,62946,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,46000,23000,9/11/14,2014,10/1/14,SBA EXPRES,FA$TRK (Small Loan Express),6,120,812112,Beauty Salons,EXEMPT,0,,0,0,0
"Chipsncheese, LLC",801 N. Giant City Road,Carbondale,IL,62902,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,150000,75000,7/3/14,2014,10/1/14,SBA EXPRES,FA$TRK (Small Loan Express),6,123,722211,Limited-Service Restaurants,EXEMPT,0,,0,0,12
"Malones Early Learning Center,",122 Walnut St.,Carterville,IL,62918,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,640000,480000,4/23/14,2014,7/1/14,OTH 7A,Guaranty,6,300,624410,Child Day Care Services,EXEMPT,0,,0,0,27
"Keyser Enterprises, Inc.",1400 W. Walnut,Carbondale,IL,62901,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,800000,600000,9/26/13,2013,10/1/13,OTH 7A,Guaranty,5.75,132,812111,Barber Shops,PIF,0,,0,0,80
"Land of Lincoln Lumber, LLC",245 Industrial Park Rd,RALEIGH,IL,62977,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,310000,155000,7/25/13,2013,7/25/13,SBA EXPRES,FA$TRK (Small Loan Express),6.5,120,321113,Sawmills,EXEMPT,0,,0,0,12
"Keyser Enterprises, Inc.",1400 W Walnut,Carbondale,IL,62901,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,1200000,900000,6/18/13,2013,6/18/13,OTH 7A,Guaranty,5.75,132,722513,Limited-Service Restaurants,PIF,0,,0,0,1
"Murphy Homes, Inc.",299 Cherokee Dr,Harrisburg,IL,62946,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,3000000,2250000,6/13/13,2013,7/1/13,OTH 7A,Small General Contractors - Sec. 7(a) (9),6,60,236115,New Single-Family Housing Construction (except Operative Builders),EXEMPT,0,,0,1,1
Barney's Market,106 E 2nd St,BROOKPORT,IL,62910,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,25000,12500,8/24/12,2012,10/1/12,SBA EXPRES,FA$TRK (Small Loan Express),5.5,70,445110,Supermarkets and Other Grocery (except Convenience) Stores,EXEMPT,0,,0,1,6
Jonathan C Russell and Susan L,106 Ohio Street,Brookport,IL,62910,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,225000,168750,8/21/12,2012,4/1/13,RLA,Rural Lender Advantage,5.55,180,445110,Supermarkets and Other Grocery (except Convenience) Stores,EXEMPT,0,,0,0,6
Matthew D. Reavill,2200 Pebble Beach,Plainfield,IL,60586,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,250000,187500,8/2/12,2012,4/1/13,RLA,Rural Lender Advantage,6,84,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesal",PIF,0,,0,0,7
Shawnee Bluffs Canopy Tour Inc,2821 South Park Ave,Herrin,IL,62948,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,500000,375000,7/19/12,2012,,OTH 7A,Guaranty,6,180,713990,All Other Amusement and Recreation Industries,CANCLD,0,,0,0,26
"Stamps Enterprises, LLC",50 Greenhill Rd,Eldorado,IL,62930,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,118500,100725,6/18/12,2012,8/1/12,RLA,Rural Lender Advantage,6,60,238990,All Other Specialty Trade Contractors,CHGOFF,1,7/22/15,93168,0,3
"The Berrco Group, LLC",1029 Poplar Ridge Road,Murphysboro,IL,62966,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,500000,375000,10/13/11,2012,12/2/16,OTH 7A,Contract Guaranty,5.5,84,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,1,25
"The Berrco Group, LLC",1029 Poplar Ridge Road,Murphysboro,IL,62966,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,952200,714150,10/13/11,2012,12/1/11,OTH 7A,Guaranty,6,240,238110,Poured Concrete Foundation and Structure Contractors,EXEMPT,0,,0,0,25
Kelly J Mitchell and David D M,620 E. Main Street,Galatia,IL,62935,INDIVIDUAL,Legence Bank,946 Fourth St,ELDORADO,IL,62930,42000,35700,7/12/11,2011,10/1/11,RLA,Rural Lender Advantage,7,180,722110,Full-Service Restaurants,EXEMPT,0,,0,0,5
"LIGHTNOR, INC.",601 N COMMERCIAL ST SUITE 10,LIBERTY,IL,62946,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,60000,54000,5/26/10,2010,10/1/10,RLA,Rural Lender Advantage,8.5,99,443111,Household Appliance Stores,EXEMPT,0,,0,0,16
"SAFE N FIT CHILDCARE CENTER, L",540 NORTH COMMERCIAL STREET,HARRISBURG,IL,62946,CORPORATION,Legence Bank,946 Fourth St,ELDORADO,IL,62930,90000,76500,2/26/10,2010,4/1/10,RLA,Rural Lender Advantage,8.5,84,624410,Child Day Care Services,PIF,0,,0,0,9
"K&D 55, Inc.",Ferdon Suite 21,Litchfield,IL,62056,CORPORATION,LCA Bank Corporation,"1375 Deer Valley Dr, Ste 218",PARK CITY,UT,84060,310600,232950,12/27/16,2017,3/1/17,OTH 7A,Guaranty,6.25,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,12
"ECO Brite Real Estate, LLC",12135 S Cicero Ave,Alsip,IL,60803,CORPORATION,LCA Bank Corporation,"1375 Deer Valley Dr, Ste 218",PARK CITY,UT,84060,1500000,1125000,3/18/15,2015,7/1/15,OTH 7A,Guaranty,6,126,811192,Car Washes,EXEMPT,0,,0,0,8
The Horvay Group LLC,208 N. WEST ST,WAUKEGAN,IL,60085,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,198000,99000,3/19/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,240,531110,Lessors of Residential Buildingsv and Dwellings,COMMIT,0,,0,0,4
Winthrop Harper Vape LLC,1275 SHERIDAN RD Suite J,WINTHROP HARBOR,IL,60096,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,150000,75000,1/19/18,2018,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,453991,Tobacco Stores,EXEMPT,0,,0,0,4
Winthrop Harper Vape LLC,1275 SHERIDAN RD Suite J,WINTHROP HARBOR,IL,60096,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,50000,25000,1/19/18,2018,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,453991,Tobacco Stores,EXEMPT,0,,0,0,4
Kordick Inc,12715 W MAJOR AVE,Beach Park,IL,60099,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,141500,70750,1/19/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),6.75,84,238210,Electrical Contractors,COMMIT,0,,0,0,14
The Procaccio Corporation,1450 W. Lake Street,Roselle,IL,60172,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,276200,207150,1/31/14,2014,3/1/14,OTH 7A,Guaranty,5,84,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,19
"Warren D. Johnson, a Trustee o",312 S Hale St,Wheaton,IL,60187,INDIVIDUAL,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,521200,390900,6/2/14,2014,7/1/14,OTH 7A,Guaranty,4.75,300,541330,Engineering Services,EXEMPT,0,,0,0,2
"Globex Garden, LLC",118 S. Villa Avenue,VILLA PARK,IL,60181,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,390700,293025,2/10/15,2015,4/1/15,OTH 7A,Guaranty,4.5,207,444220,Nursery and Garden Centers,EXEMPT,0,,0,0,7
"Res Automotive, Inc",6108 Dempster Street,Morton Grove,IL,60053,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,147000,124950,6/15/15,2015,7/1/15,OTH 7A,Guaranty,4.75,120,811112,Automotive Exhaust System Repair,EXEMPT,0,,0,0,9
"Joe Zac, Inc",1044 Maple Avenue,LISLE,IL,60532,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,127000,107950,12/3/15,2016,6/1/16,SLA,Lender Advantage Initiative,5,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,15
The Procaccio Corporation,27 E. Irving Park Road,ROSELLE,IL,60172,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,447000,335250,2/4/16,2016,3/1/16,OTH 7A,Guaranty,4.75,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,11
"Diptrekha Dental, Inc.",624 West Veterans Parkway Sui,Yorkville,IL,60560,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,347500,260625,6/9/17,2017,9/30/17,OTH 7A,Guaranty,5.5,120,621210,Offices of Dentists,EXEMPT,0,,0,0,5
"Forbici Salon & Spa, Ltd.",7 S. Highland Avenue,Arlington Heights,IL,60005,CORPORATION,American Enterprise Bank,600 N Buffalo Grove Rd,BUFFALO GROVE,IL,60089,300500,225375,1/19/18,2018,,OTH 7A,Guaranty,6.75,120,812112,Beauty Salons,COMMIT,0,,0,0,46
Kordick Inc,12715 W MAJOR AVE,Beach Park,IL,60099,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,50000,25000,1/19/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),6.5,84,238210,Electrical Contractors,COMMIT,0,,0,0,14
"Degla, LLC",4957 OAKTON ST,SKOKIE,IL,60077,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,125000,62500,11/30/17,2018,,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,561439,Other Business Service Centers (including Copy Shops),COMMIT,0,,0,0,3
Vascular Specialists LLC,20060 Governors Dr,OLYMPIA FIELDS,IL,60461,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,200000,100000,9/7/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,621111,Offices of Physicians (except Mental Health Specialists),COMMIT,0,,0,1,19
NETGAR INVESTMENTS INC.,201 N. Green Bay Rd,WAUKEGAN,IL,60085,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,216000,108000,8/22/17,2017,11/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.75,240,531210,Offices of Real Estate Agents and Brokers,EXEMPT,0,,0,0,5
Dreamscapes Hardscape and Conc,930 South Green Bay Rd,WAUKEGAN,IL,60085,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,229500,114750,5/17/17,2017,9/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,300,561730,Landscaping Services,EXEMPT,0,,0,0,17
ZSG Co,2134 Scotch Pine Lane,NORTHBROOK,IL,60062,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,150000,75000,4/27/17,2017,,SBA EXPRES,FA$TRK (Small Loan Express),6,84,448190,Other Clothing Stores,COMMIT,0,,0,1,4
Uncle Dan's Ltd.,"9101 N. Terminal Ave.,",SKOKIE,IL,60077,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,100000,50000,4/24/17,2017,4/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6,60,448190,Other Clothing Stores,PIF,0,,0,0,56
"Integrity Developers, Inc.","2835 Belvidere Road, Suite 11",WAUKEGAN,IL,60085,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,150000,75000,4/14/17,2017,4/30/17,SBA EXPRES,FA$TRK (Small Loan Express),6,84,236115,New Single-Family Housing Construction (except Operative Builders),EXEMPT,0,,0,1,4
Arlington Pavement Professiona,2763 Country Lake Road,ARLINGTON HEIGHTS,IL,60004,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,100000,50000,4/13/17,2017,4/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.25,60,238990,All Other Specialty Trade Contractors,EXEMPT,0,,0,0,10
LT Staffing Inc,2728 Grand Avenue,WAUKEGAN,IL,60085,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,332000,166000,11/30/16,2017,2/1/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,300,531390,Other Activities Related to Real Estate,EXEMPT,0,,0,0,2
"Heritage Werks, Inc.",3333 Warrenville Road Suite 2,LISLE,IL,60532,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,350000,175000,11/16/16,2017,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,519120,Libraries and Archives,EXEMPT,0,,0,1,39
Rainbow Chemicals Company,"910 Skokie Blvd., Suite 112",NORTHBROOK,IL,60062,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,350000,175000,10/4/16,2017,11/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5,84,424690,Other Chemical and Allied Products Merchant Wholesalers,EXEMPT,0,,0,0,4
"LF Personal Training, Inc.","225 E. Deerpath Rd., Ste. 126",LAKE FOREST,IL,60045,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,262500,131250,7/29/16,2016,11/1/16,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,812191,Diet and Weight Reducing Centers,EXEMPT,0,,0,0,10
"LF Personal Training, Inc.","225 E. Deerpath Rd., Ste. 126",LAKE FOREST,IL,60045,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,50000,25000,7/29/16,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,812191,Diet and Weight Reducing Centers,PIF,0,,0,1,10
Integrated Holistic Healthcare,522 Poplar Drive,WILMETTE,IL,60091,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,180000,90000,6/7/16,2016,6/7/16,SBA EXPRES,FA$TRK (Small Loan Express),5,84,621111,Offices of Physicians (except Mental Health Specialists),EXEMPT,0,,0,0,2
Integrated Holistic Healthcare,522 Poplar Drive,WILMETTE,IL,60091,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,50000,25000,6/7/16,2016,6/7/16,SBA EXPRES,FA$TRK (Small Loan Express),4.75,84,621111,Offices of Physicians (except Mental Health Specialists),EXEMPT,0,,0,1,2
"Vericron Printing & Graphics,","2 N Riverside Plaza, Suite 36",CHICAGO,IL,60606,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,274400,137200,6/3/16,2016,6/3/16,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,454390,Other Direct Selling Establishments,EXEMPT,0,,0,0,24
"LF Personal Training, Inc.","225 E. Deerpath Rd., Ste. 126",LAKE FOREST,IL,60045,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,232000,116000,1/5/16,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,812191,Diet and Weight Reducing Centers,CANCLD,0,,0,0,10
"LF Personal Training, Inc.","225 E. Deerpath Rd., Ste. 126",LAKE FOREST,IL,60045,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,50000,25000,1/5/16,2016,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,812191,Diet and Weight Reducing Centers,CANCLD,0,,0,1,10
Dr. Tenore's Fountain of Youth,806 Central Avenue # 208,Highland Park,IL,60035,CORPORATION,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,204500,153375,6/9/11,2011,7/1/11,RLA,Rural Lender Advantage,5.75,87,621111,Offices of Physicians (except Mental Health Specialists),PIF,0,,0,0,6
ALEXANDER MUELLER,225 EAST DEERPATH # 126,LAKE FOREST,IL,60045,INDIVIDUAL,"Lake Forest Bank & Trust Company, National Association",727 N Bank Ln,LAKE FOREST,IL,60045,136000,122400,4/27/10,2010,6/1/10,RLA,Rural Lender Advantage,5.5,60,812990,All Other Personal Services,PIF,0,,0,0,3
"ABC CPA, Inc.",130 West Lake Street Suite 5,Bloomingdale,IL,60108,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,614000,460500,11/9/17,2018,11/30/17,PLP,Guaranty,6.25,120,541211,Offices of Certified Public Accountants,EXEMPT,0,,0,0,6
"ABC CPA, Inc.",130 West Lake Street Suite 5,Bloomingdale,IL,60108,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,100000,50000,11/9/17,2018,12/31/17,SBA EXPRES,FA$TRK (Small Loan Express),6.25,84,541211,Offices of Certified Public Accountants,EXEMPT,0,,0,1,6
"Deneault Keilman, LLC",220 Exchange Drive,Crystal Lakes,IL,60014,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,1625500,1219125,8/17/17,2017,1/29/18,PLP,Guaranty,6.25,120,713990,All Other Amusement and Recreation Industries,COMMIT,0,,0,0,30
"AB CPA, Inc.",9944 S. Roberts Road,Palos Hills,IL,60465,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,754500,565875,12/9/16,2017,12/9/16,PLP,Guaranty,5.5,120,541211,Offices of Certified Public Accountants,EXEMPT,0,,0,0,0
"AB CPA, Inc.",9944 S. Roberts Road,Palos Hills,IL,60465,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,100000,50000,12/9/16,2017,6/30/17,SBA EXPRES,FA$TRK (Small Loan Express),5.5,84,541211,Offices of Certified Public Accountants,EXEMPT,0,,0,1,0
Centaur Transport LLC,1829 Brophy Ave,Park Ridge,IL,60068,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,47100,23550,10/28/15,2016,10/28/15,SBA EXPRES,FA$TRK (Small Loan Express),6.96,84,484121,"General Freight Trucking, Long Distance, Truckload",EXEMPT,0,,0,1,5
"D C Financial Services Group,",15000 S Cicero Avenue,Oak Forest,IL,60452,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,408000,306000,12/30/14,2015,2/1/15,PLP,Guaranty,5.75,120,541211,Offices of Certified Public Accountants,EXEMPT,0,,0,0,3
Platinum Uplink Services LLC,116 Bassford Avenue,La Grange,IL,60525,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,795000,596250,9/19/11,2011,10/1/11,PLP,Guaranty,6,120,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,EXEMPT,0,,0,0,1
Platinum Uplink Services LLC,116 Bassford Avenue,La Grange,IL,60525,CORPORATION,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114,50000,25000,9/19/11,2011,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,334220,Radio and Television Broadcasting and Wireless Communications Equipmen,CANCLD,0,,0,1,1
"Illiana Backyard Fun, Inc.",800 E. Walnut Street,Watsuka,IL,60970,CORPORATION,Kentland Bank,111 N 4th St,KENTLAND,IN,47951,100000,85000,12/18/12,2013,2/1/13,RLA,Rural Lender Advantage,5.5,60,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),PIF,0,,0,0,3
TONY W  PIATT AND PAW-A-DAY IN,5 HODGE STREET,TILTON,IL,61833,CORPORATION,Kentland Bank,111 N 4th St,KENTLAND,IN,47951,480000,432000,1/20/10,2010,5/1/10,OTH 7A,Guaranty,6,300,812910,Pet Care (except Veterinary) Services,EXEMPT,0,,0,0,3
Brenda Whitaker,1318 Niedringhaus Avenue,Granite City,IL,62040,INDIVIDUAL,Justine Petersen Housing & Reinvestment Corporation,1023 N. Grand Blvd,St. Louis,MO,63106,150000,127500,12/1/17,2018,1/31/18,CA,Community Advantage Initiative,10.25,300,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,12
"Augusta Country Living, Inc.",97 W. Main Street,Augusta,IL,62321,CORPORATION,Justine Petersen Housing & Reinvestment Corporation,1023 N. Grand Blvd,St. Louis,MO,63106,135000,114750,4/17/17,2017,8/31/17,CA,Community Advantage Initiative,9.75,120,623312,Homes for the Elderly,EXEMPT,0,,0,0,6
"Me 2 You Game Truck, Inc.",3136 Aubrey Avenue,GRANITE CITY,IL,62040,CORPORATION,Justine Petersen Housing & Reinvestment Corporation,1023 N. Grand Blvd,St. Louis,MO,63106,96000,81600,10/1/15,2016,12/1/15,CA,Community Advantage Initiative,9.25,120,713120,Amusement Arcades,EXEMPT,0,,0,0,0
Steel Rebar Manufacturing LLC,1054 North 18th Street,EAST SAINT LOUIS,IL,62205,CORPORATION,Justine Petersen Housing & Reinvestment Corporation,1023 N. Grand Blvd,St. Louis,MO,63106,150000,127500,5/15/15,2015,7/31/15,CA,Community Advantage Initiative,8,120,238990,All Other Specialty Trade Contractors,EXEMPT,0,,0,0,0
"V & V FREIGHT, INC.",7534 KORBEL DR,GURNEE,IL,60031,CORPORATION,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240,42700,21350,3/30/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),10.15,84,484121,"General Freight Trucking, Long Distance, Truckload",COMMIT,0,,0,0,2
